match_id,year,home_team,away_team,home_score,away_score,home_rank,away_rank,home_gdp,away_gdp,home_pop,away_pop,result
101,1954,West Germany,Hungary,3.0,2.0,,,,,,,1
102,1958,Argentina,West Germany,1.0,3.0,,,,,,,-1
103,1958,Northern Ireland,Czechoslovakia,1.0,0.0,,,,,,,1
104,1958,West Germany,Czechoslovakia,2.0,2.0,,,,,,,0
105,1958,Argentina,Northern Ireland,3.0,1.0,,,,,,,1
106,1958,West Germany,Northern Ireland,2.0,2.0,,,,,,,0
107,1958,Czechoslovakia,Argentina,6.0,1.0,,,,,,,1
108,1958,Northern Ireland,Czechoslovakia,2.0,1.0,,,,,,,1
109,1958,France,Paraguay,7.0,3.0,,,,,,,1
110,1958,Yugoslavia,Scotland,1.0,1.0,,,,,,,0
111,1958,Yugoslavia,France,3.0,2.0,,,,,,,1
112,1958,Paraguay,Scotland,3.0,2.0,,,,,,,1
113,1958,France,Scotland,2.0,1.0,,,,,,,1
114,1958,Paraguay,Yugoslavia,3.0,3.0,,,,,,,0
115,1958,Sweden,Mexico,3.0,0.0,,,,,,,1
116,1958,Hungary,Wales,1.0,1.0,,,,,,,0
117,1958,Mexico,Wales,1.0,1.0,,,,,,,0
118,1958,Sweden,Hungary,2.0,1.0,,,,,,,1
119,1958,Sweden,Wales,0.0,0.0,,,,,,,0
120,1958,Hungary,Mexico,4.0,0.0,,,,,,,1
121,1958,Wales,Hungary,2.0,1.0,,,,,,,1
122,1958,Brazil,Austria,3.0,0.0,,,,,,,1
123,1958,Soviet Union,England,2.0,2.0,,,,,,,0
124,1958,Brazil,England,0.0,0.0,,,,,,,0
125,1958,Soviet Union,Austria,2.0,0.0,,,,,,,1
126,1958,England,Austria,2.0,2.0,,,,,,,0
127,1958,Brazil,Soviet Union,2.0,0.0,,,,,,,1
128,1958,Soviet Union,England,1.0,0.0,,,,,,,1
129,1958,Brazil,Wales,1.0,0.0,,,,,,,1
130,1958,France,Northern Ireland,4.0,0.0,,,,,,,1
131,1958,Sweden,Soviet Union,2.0,0.0,,,,,,,1
132,1958,West Germany,Yugoslavia,1.0,0.0,,,,,,,1
133,1958,Brazil,France,5.0,2.0,,,,,,,1
134,1958,Sweden,West Germany,3.0,1.0,,,,,,,1
135,1958,France,West Germany,6.0,3.0,,,,,,,1
136,1958,Brazil,Sweden,5.0,2.0,,,,,,,1
137,1962,Uruguay,Colombia,2.0,1.0,,,1710004407.22785,4955543963.36869,2593298.0,16599029.0,1
138,1962,Soviet Union,Yugoslavia,2.0,0.0,,,,,,,1
139,1962,Yugoslavia,Uruguay,3.0,1.0,,,,1710004407.22785,,2593298.0,1
140,1962,Soviet Union,Colombia,4.0,4.0,,,,4955543963.36869,,16599029.0,0
141,1962,Soviet Union,Uruguay,2.0,1.0,,,,1710004407.22785,,2593298.0,1
142,1962,Yugoslavia,Colombia,5.0,0.0,,,,4955543963.36869,,16599029.0,1
143,1962,Chile,Switzerland,3.0,1.0,,,5765971144.47142,12989649694.2812,8497059.0,5573815.0,1
144,1962,West Germany,Italy,0.0,0.0,,,,52413872628.0045,,50879450.0,0
145,1962,Chile,Italy,2.0,0.0,,,5765971144.47142,52413872628.0045,8497059.0,50879450.0,1
146,1962,West Germany,Switzerland,2.0,1.0,,,,12989649694.2812,,5573815.0,1
147,1962,West Germany,Chile,2.0,0.0,,,,5765971144.47142,,8497059.0,1
148,1962,Italy,Switzerland,3.0,0.0,,,52413872628.0045,12989649694.2812,50879450.0,5573815.0,1
149,1962,Brazil,Mexico,2.0,0.0,,,19231747851.5332,15200000000.0,76865323.0,39129200.0,1
150,1962,Czechoslovakia,Spain,1.0,0.0,,,,16609632790.5843,,31023366.0,1
151,1962,Brazil,Czechoslovakia,0.0,0.0,,,19231747851.5332,,76865323.0,,0
152,1962,Spain,Mexico,1.0,0.0,,,16609632790.5843,15200000000.0,31023366.0,39129200.0,1
153,1962,Brazil,Spain,2.0,1.0,,,19231747851.5332,16609632790.5843,76865323.0,31023366.0,1
154,1962,Mexico,Czechoslovakia,3.0,1.0,,,15200000000.0,,39129200.0,,1
155,1962,Argentina,Bulgaria,1.0,0.0,,,18337691145.3688,,21072538.0,8012946.0,1
156,1962,Hungary,England,2.0,1.0,,,,81247564156.8246,10060825.0,53250000.0,1
157,1962,England,Argentina,3.0,1.0,,,81247564156.8246,18337691145.3688,53250000.0,21072538.0,1
158,1962,Hungary,Bulgaria,6.0,1.0,,,,,10060825.0,8012946.0,1
159,1962,Hungary,Argentina,0.0,0.0,,,,18337691145.3688,10060825.0,21072538.0,0
160,1962,England,Bulgaria,0.0,0.0,,,81247564156.8246,,53250000.0,8012946.0,0
161,1962,Chile,Soviet Union,2.0,1.0,,,5765971144.47142,,8497059.0,,1
162,1962,Czechoslovakia,Hungary,1.0,0.0,,,,,,10060825.0,1
163,1962,Brazil,England,3.0,1.0,,,19231747851.5332,81247564156.8246,76865323.0,53250000.0,1
164,1962,Yugoslavia,West Germany,1.0,0.0,,,,,,,1
165,1962,Czechoslovakia,Yugoslavia,3.0,1.0,,,,,,,1
166,1962,Brazil,Chile,4.0,2.0,,,19231747851.5332,5765971144.47142,76865323.0,8497059.0,1
167,1962,Chile,Yugoslavia,1.0,0.0,,,5765971144.47142,,8497059.0,,1
168,1962,Brazil,Czechoslovakia,3.0,1.0,,,19231747851.5332,,76865323.0,,1
169,1966,England,Uruguay,0.0,0.0,,,108572752102.045,1809185093.55188,54648500.0,2707646.0,0
170,1966,France,Mexico,1.0,1.0,,,109306730313.216,24320000000.0,50311637.0,44629106.0,0
