match_id,year,stage,home_team,away_team,home_score,away_score,home_rank,away_rank,result,home_gdp,home_pop,away_gdp,away_pop
40,1938,Round of 16,Italy,Norway,2.0,1.0,1.0,8.0,1,216270039000.0,43419000.0,19947184000.0,2936000.0
39,1938,Round of 16,France,Belgium,3.0,1.0,25.0,27.0,1,298713240000.0,41960000.0,64496548000.0,8374000.0
38,1938,Round of 16,Cuba,Romania,3.0,3.0,24.0,23.0,0,9161532000.0,4428000.0,25016933836.739594,15601000.0
37,1938,Round of 16,Sweden,Austria,,,16.0,7.0,0,49192164000.0,6297000.0,38309769000.0,6753000.0
36,1938,Round of 16,Hungary,Dutch East Indies,6.0,0.0,6.0,8.0,1,38794744000.0,9167000.0,118306020000.0,71484000.0
35,1938,Round of 16,Switzerland,Germany,1.0,1.0,21.0,3.0,0,40279125522.24823,4192000.0,545721680000.0,68558000.0
43,1938,Round of 16,Switzerland,Germany,4.0,2.0,21.0,3.0,1,40279125522.24823,4192000.0,545721680000.0,68558000.0
67,1950,Group Stage,Sweden,Paraguay,2.0,2.0,17.0,18.0,0,75344388000.0,7014000.0,3528324579.0,1475669.0
68,1950,Group Stage,Italy,Paraguay,2.0,0.0,1.0,18.0,1,262940110000.0,47105000.0,3528324579.0,1475669.0
69,1950,Group Stage,Uruguay,Bolivia,8.0,0.0,2.0,26.0,1,15392839125.0,2194275.0,8328510308.0,2766028.0
70,1950,Final,Uruguay,Spain,2.0,2.0,2.0,22.0,0,15392839125.0,2194275.0,97082143790.08331,28062963.0
75,1950,Final,Uruguay,Brazil,2.0,1.0,2.0,5.0,1,15392839125.0,2194275.0,119498715700.0,53443075.0
72,1950,Final,Brazil,Spain,6.0,1.0,5.0,22.0,1,119498715700.0,53443075.0,97082143790.08331,28062963.0
73,1950,Final,Uruguay,Sweden,3.0,2.0,2.0,17.0,1,15392839125.0,2194275.0,75344388000.0,7014000.0
74,1950,Final,Sweden,Spain,3.0,1.0,17.0,22.0,1,75344388000.0,7014000.0,97082143790.08331,28062963.0
66,1950,Group Stage,Sweden,Italy,3.0,2.0,17.0,1.0,1,75344388000.0,7014000.0,262940110000.0,47105000.0
